age,income,years_employed,department,purchased
25,30000,2,Sales,No
35,50000,10,Engineering,Yes
45,70000,15,Management,Yes
28,35000,3,Sales,No
52,85000,20,Management,Yes
31,42000,6,Engineering,No
38,55000,12,Sales,Yes
29,38000,4,Engineering,No
48,75000,18,Management,Yes
26,32000,2,Sales,No
40,60000,14,Engineering,Yes
33,45000,8,Sales,No
50,80000,19,Management,Yes
27,34000,3,Sales,No
42,65000,16,Engineering,Yes
30,40000,5,Sales,No
44,72000,17,Management,Yes
32,48000,7,Engineering,No
49,78000,20,Management,Yes
25,31000,1,Sales,No
